State,County,PK thru 12th Students 2009-10,PK thru 12th Students 2008-09,PK thru 12th Students 2007-08,PK thru 12th Students 2006-07,PK thru 12th Students 2005-06,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Male Students [Public School] 2009-10,Male Students [Public School] 2008-09,Male Students [Public School] 2007-08,Male Students [Public School] 2006-07,Male Students [Public School] 2005-06,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,Female Students [Public School] 2009-10,Female Students [Public School] 2008-09,Female Students [Public School] 2007-08,Female Students [Public School] 2006-07,Female Students [Public School] 2005-06,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2009-10,American Indian/Alaska Native Students [Public School] 2008-09,American Indian/Alaska Native Students [Public School] 2007-08,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2005-06,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2009-10,Asian or Asian/Pacific Islander Students [Public School] 2008-09,Asian or Asian/Pacific Islander Students [Public School] 2007-08,Asian or Asian/Pacific Islander Students [Public School] 2006-07,Asian or Asian/Pacific Islander Students [Public School] 2005-06,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Hispanic Students [Public School] 2009-10,Hispanic Students [Public School] 2008-09,Hispanic Students [Public School] 2007-08,Hispanic Students [Public School] 2006-07,Hispanic Students [Public School] 2005-06,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,Black Students [Public School] 2009-10,Black Students [Public School] 2008-09,Black Students [Public School] 2007-08,Black Students [Public School] 2006-07,Black Students [Public School] 2005-06,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,White Students [Public School] 2009-10,White Students [Public School] 2008-09,White Students [Public School] 2007-08,White Students [Public School] 2006-07,White Students [Public School] 2005-06,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2009-10,Hawaiian Nat./Pacific Isl. Students [Public School] 2008-09,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Two or More Races Students [Public School] 2009-10,Two or More Races Students [Public School] 2008-09
MICHIGAN,LAPEER COUNTY,15876,16321,15019,15162,15365,7095,7273,7560,7780,8009,8059,8266,8309,6449,6611,6990,7214,7358,7417,7648,7685,49,52,61,55,53,64,76,66,66,62,67,85,89,100,110,106,814,845,854,783,781,737,765,707,94,104,108,155,152,136,119,111,12361,12675,13338,13916,14292,14439,14844,15004,10,11,10,†,†,150,135,112,†,†
INDIANA,LAPORTE COUNTY,18269,18395,18647,18544,18026,8728,8820,8554,8511,8703,8935,8884,8995,8266,8282,8226,8027,8062,8122,8162,8366,45,48,63,83,97,102,86,76,84,82,83,106,106,87,77,78,1624,1534,1361,1028,995,987,917,832,2145,2153,1931,2233,2284,2386,2313,2312,12160,12329,12376,13088,13283,13495,13653,14063,8,8,4,†,†,928,948,962,†,†
WYOMING,LARAMIE COUNTY,14183,13855,13820,13726,‡,7347,7319,7161,7219,7094,7099,7098,6976,6980,6967,6935,6868,6707,6647,6627,6690,154,75,90,103,161,160,154,175,174,117,117,120,262,230,225,229,2723,2812,2690,2682,2208,2167,2096,2071,407,354,376,383,619,612,594,605,10447,10366,10314,10344,10551,10577,10656,10586,95,41,52,43,†,327,521,457,412,†
COLORADO,LARIMER COUNTY,42955,42478,42109,42012,41531,23391,22847,22373,22164,21908,21812,21708,21344,22184,21744,21331,21175,20941,20701,20589,20187,245,249,269,436,413,437,442,439,1144,1145,1063,1349,1233,1165,1112,1021,8285,7998,7787,6997,6744,6601,6356,6067,544,552,557,813,711,680,654,641,34024,33425,32948,33744,33748,33630,33733,33363,66,76,113,†,†,1267,1146,967,†,†
KENTUCKY,LARUE COUNTY,2397,2434,2467,2369,2448,1258,1260,1260,1183,1238,1247,1240,1276,1139,1145,1158,1118,1136,1169,1138,1145,10,9,8,6,5,5,4,5,6,9,8,9,8,7,3,4,123,109,94,61,55,48,44,43,82,78,101,101,104,108,107,103,2094,2134,2155,2124,2202,2248,2220,2266,2,2,1,†,†,80,64,51,†,†
COLORADO,LAS ANIMAS COUNTY,2648,2799,2933,3286,3486,1170,1227,1229,1281,1379,1443,1612,1719,1211,1267,1318,1366,1420,1490,1674,1767,31,31,27,31,42,39,46,55,21,27,35,30,30,32,29,34,1249,1293,1287,1247,1346,1327,1408,1456,37,34,22,29,30,42,52,54,999,1071,1151,1310,1351,1493,1751,1887,8,4,3,†,†,36,34,22,†,†
ILLINOIS,LASALLE COUNTY,17087,17426,17459,18644,17408,8710,8743,8720,8349,8254,8713,8860,8791,8303,8407,8480,8009,8597,8240,8383,8380,57,52,53,53,57,60,61,64,119,118,124,115,137,124,142,129,2445,2391,2279,1857,1831,1776,1753,1644,374,357,384,313,361,399,427,453,13549,13755,13915,14020,14465,14594,14860,14881,10,7,9,†,†,459,470,436,†,†
CALIFORNIA,LASSEN COUNTY,4828,5018,5133,5196,5690,‡,‡,2520,2534,2629,2570,2631,2785,‡,‡,2349,2311,2335,2318,2333,2539,‡,‡,255,283,304,289,282,288,‡,‡,62,63,62,84,89,100,‡,‡,621,613,569,563,550,780,‡,‡,71,87,98,92,101,112,‡,‡,3702,3637,3708,3860,3942,4044,‡,‡,30,32,31,‡,‡,128,130,192
IDAHO,LATAH COUNTY,5027,5048,5187,5418,5268,2534,2491,2581,2634,2595,2676,2806,2779,2370,2367,2397,2393,2451,2508,2609,2488,36,35,50,80,74,71,69,70,62,63,79,123,116,115,114,107,197,200,207,177,155,162,130,124,43,44,40,70,66,58,61,58,4372,4348,4448,4577,4635,4778,5041,4908,20,20,16,†,†,174,148,138,†,†
OKLAHOMA,LATIMER COUNTY,1492,1720,1749,1742,1761,497,762,797,774,787,808,902,892,405,673,708,724,756,765,860,884,380,507,545,534,560,573,634,636,2,3,6,8,9,6,6,10,29,52,48,42,51,53,50,58,8,20,18,17,13,18,25,21,482,827,883,897,910,923,1047,1051,0,0,0,†,†,1,26,5,†,†
TENNESSEE,LAUDERDALE COUNTY,4693,4734,863,4547,4437,2426,2396,2413,2448,2457,426,2351,2305,2299,2275,2275,2245,2277,453,2267,2222,22,23,15,8,28,11,49,37,14,12,16,24,7,2,7,6,142,131,112,80,93,39,86,51,1928,1925,1914,1972,1953,427,1909,1912,2537,2524,2599,2609,2653,400,2567,2521,2,3,3,†,†,80,53,29,†,†
MISSISSIPPI,LAUDERDALE COUNTY,12885,12961,12701,12674,12864,6678,6605,6064,6163,6236,6742,6777,6831,6329,6340,5887,6000,6016,6464,6398,6536,11,15,12,6,10,11,11,5,94,81,71,71,76,79,76,85,228,190,177,170,147,154,145,125,7379,7434,7318,7436,7488,7496,7486,7523,5243,5203,4356,4468,4529,5466,5457,5629,4,2,2,3,2,48,20,15,9,0
ALABAMA,LAUDERDALE COUNTY,13208,13180,12957,12937,12936,6644,6621,6679,6738,6726,6578,6570,6609,6485,6434,6462,6449,6442,6375,6366,6326,23,25,38,22,17,18,23,14,86,84,84,74,72,63,66,51,409,363,402,396,345,311,269,229,1771,1777,1738,1788,1838,1821,1806,1829,10683,10701,10819,10907,10896,10740,10772,10812,3,2,0,†,†,154,103,60,†,†
KENTUCKY,LAUREL COUNTY,9985,9812,9879,9557,9774,5197,4811,4794,4764,4663,5003,4900,4882,4827,4584,4509,4521,4465,4782,4633,4597,26,27,21,17,15,14,10,14,68,72,67,44,37,30,36,41,126,107,89,61,60,61,45,37,128,123,141,104,115,117,123,112,9644,9044,8970,9059,8901,9563,9319,9275,8,5,3,†,†,24,17,12,†,†
GEORGIA,LAURENS COUNTY,9489,9467,9371,9283,9361,4871,4316,4726,4797,4714,4909,4709,4758,4851,4325,4680,4692,4594,4828,4447,4489,18,17,17,11,9,10,11,16,92,74,88,88,73,70,66,60,237,199,229,234,208,230,177,169,4242,3553,4217,4249,4338,4506,4229,4250,4942,4645,4682,4746,4680,4921,4673,4752,5,2,0,0,†,186,151,173,161,†
SOUTH CAROLINA,LAURENS COUNTY,9190,9259,9385,9266,9277,4799,4826,4786,4831,4867,4992,4782,4737,4504,4503,4505,4626,4671,4692,4484,4486,2,1,2,3,4,3,6,6,28,27,23,34,30,35,22,19,684,645,599,545,484,439,417,353,2857,2907,2912,3139,3150,3270,3274,3279,5447,5496,5541,5736,5870,5937,5547,5566,4,2,4,†,†,281,251,210,†,†
TEXAS,LAVACA COUNTY,2012,2042,2065,2069,2106,1116,1106,1048,1011,1056,1076,1073,1109,1099,1044,1036,986,971,976,982,985,7,4,2,5,0,0,0,1,12,10,7,6,8,7,8,5,438,428,394,326,303,293,275,256,159,163,161,204,208,210,208,214,1538,1492,1473,1456,1508,1542,1564,1618,1,0,0,†,†,60,53,47,†,†
TENNESSEE,LAWRENCE COUNTY,6861,6914,6935,6987,6876,3516,3571,3645,3573,3590,3648,3602,3609,3336,3364,3391,3288,3324,3332,3427,3315,14,10,13,17,10,10,8,7,22,19,20,25,24,29,33,26,146,119,125,104,105,96,81,81,145,172,189,186,177,173,170,175,6477,6578,6656,6529,6598,6672,6737,6635,1,0,0,†,†,47,37,33,†,†
SOUTH DAKOTA,LAWRENCE COUNTY,2837,2878,2814,2927,2966,1621,1590,1599,1579,1591,1518,1603,1683,1438,1420,1413,1383,1414,1373,1440,1412,126,141,145,151,141,123,125,140,45,46,41,42,41,35,34,35,142,147,142,83,72,67,64,73,32,32,25,30,30,20,33,33,2648,2586,2607,2656,2721,2646,2787,2814,8,1,6,†,†,58,57,46,†,†
PENNSYLVANIA,LAWRENCE COUNTY,13492,13825,14023,14816,14640,6546,6700,6887,7008,7235,7293,7055,7644,6245,6395,6488,6486,6733,6892,7538,7162,6,5,5,9,9,10,14,11,87,98,78,84,80,89,83,69,142,126,116,109,125,102,90,106,1059,1163,1234,1264,1368,1340,1386,1303,11232,11487,11754,12028,12386,12644,13020,13317,3,4,5,†,†,262,212,183,†,†
MISSISSIPPI,LAWRENCE COUNTY,2149,2210,2229,2311,2368,1048,1062,1052,1078,1107,1123,1178,1190,1123,1083,1056,1093,1124,1125,1144,1206,0,1,0,0,1,0,0,4,9,10,11,10,10,10,12,9,22,22,27,21,25,25,22,16,881,863,874,908,951,950,983,1016,1236,1234,1193,1230,1244,1263,1305,1351,0,0,0,0,0,23,15,3,2,0
MISSOURI,LAWRENCE COUNTY,6164,6056,6167,6175,6159,3750,3785,3803,3756,3687,3785,3517,3508,3300,3348,3389,3422,3356,3483,3126,3082,82,79,78,69,76,76,73,64,39,37,41,46,37,44,39,44,767,777,712,604,583,609,443,376,56,45,43,48,47,51,38,45,6010,6090,6216,6411,6300,6488,6050,6061,4,2,3,†,†,92,103,99,†,†
OHIO,LAWRENCE COUNTY,10082,10655,10639,10793,10940,5027,5073,5152,5121,5378,5413,5492,5585,4739,4779,4858,4766,5083,5053,5135,5211,3,5,4,3,3,4,8,11,41,47,41,36,43,43,37,34,68,64,61,39,35,34,19,20,238,224,224,232,260,256,267,276,9162,9266,9461,9577,10120,10129,10296,10455,2,3,1,†,†,252,243,218,†,†
ALABAMA,LAWRENCE COUNTY,5237,5419,5454,5521,5560,2558,2622,2285,2701,2795,2811,2863,2895,2532,2557,2160,2518,2605,2607,2639,2657,566,620,654,818,934,968,1024,1104,14,17,8,9,6,7,12,10,121,112,90,96,86,82,70,72,624,658,632,722,777,847,915,901,3685,3707,3045,3574,3597,3514,3481,3465,2,2,1,†,†,78,63,15,†,†
ARKANSAS,LAWRENCE COUNTY,3252,3296,3397,3280,3331,1741,1750,1796,1716,1730,1759,1711,1719,1544,1580,1615,1536,1567,1639,1570,1612,9,11,5,3,4,4,6,3,7,7,10,11,13,11,8,9,40,36,36,28,12,16,16,10,12,11,14,16,19,21,15,29,3179,3231,3309,3163,3249,3346,3236,3280,2,1,3,4,†,36,33,34,27,†
ILLINOIS,LAWRENCE COUNTY,2430,2447,2391,2425,2481,1194,1191,1173,1252,1156,1283,1466,1327,1146,1131,1133,1114,1242,1114,1145,1162,0,2,2,2,1,1,1,2,3,3,6,5,7,7,8,7,22,29,27,17,19,20,28,17,9,13,16,15,24,43,143,58,2272,2232,2204,2327,2347,2326,2431,2405,0,0,0,†,†,34,43,51,†,†
KENTUCKY,LAWRENCE COUNTY,2473,2457,2565,2547,2695,1312,1316,1331,1319,1298,1345,1366,1435,1213,1190,1193,1156,1157,1217,1178,1142,4,3,4,1,1,1,2,2,10,10,9,6,3,4,4,1,7,9,5,2,1,1,2,0,19,13,13,9,11,13,8,9,2480,2469,2493,2457,2439,2543,2528,2565,0,0,0,†,†,5,2,0,†,†
INDIANA,LAWRENCE COUNTY,7330,7362,7467,7502,7472,3639,3776,3828,3753,3787,3840,3871,3932,3328,3479,3527,3489,3485,3500,3514,3540,35,33,41,24,27,32,21,10,26,32,38,35,33,30,21,26,125,126,108,60,57,61,48,38,17,22,28,28,25,31,32,32,6596,6882,7000,7095,7130,7186,7263,7366,0,0,0,†,†,168,160,140,†,†
OKLAHOMA,LE FLORE COUNTY,10071,9995,9936,9871,9820,5152,5296,5280,5220,5306,5287,5074,5095,4824,4852,4849,4873,4911,4986,4857,4784,2896,3181,3226,3299,3206,3313,3302,3038,70,58,76,76,94,88,83,62,994,961,886,842,804,742,644,571,192,223,212,307,309,248,227,241,5312,5368,5493,5569,5804,5882,5675,5967,16,6,11,†,†,496,351,225,†,†
MINNESOTA,LE SUEUR COUNTY,4340,4364,4531,4347,4417,1842,2030,1992,1995,2276,2336,2009,2065,1777,1867,1881,1910,2130,2236,1928,1925,12,15,13,17,26,30,24,15,18,25,28,24,44,39,24,29,441,456,415,439,427,424,362,346,26,25,26,29,34,46,28,25,3073,3331,3364,3396,3875,4033,3499,3575,2,0,0,†,†,47,45,27,†,†
NEW MEXICO,LEA COUNTY,12892,12588,12349,12123,11937,7204,6875,6755,6616,6488,6348,6236,6143,6808,6527,6349,6262,6070,5965,5849,5794,51,51,39,45,36,35,34,28,56,54,54,50,46,48,45,54,9470,8939,8542,8212,7850,7525,7149,6870,482,489,535,540,560,577,574,596,3935,3850,3917,4030,4066,4128,4283,4389,4,3,2,1,†,14,16,15,0,†
MISSISSIPPI,LEAKE COUNTY,3280,3194,3216,3238,3228,‡,1620,1728,1813,1758,1777,1760,1764,‡,1440,1505,1541,1510,1521,1566,1561,‡,38,33,36,29,39,36,37,‡,13,11,15,18,18,18,11,‡,205,177,169,128,114,106,79,‡,1872,1893,1942,1907,1915,1921,1933,‡,915,1113,1182,1186,1212,1245,1265,1,1,1,1,0,19,16,5,9,0
KANSAS,LEAVENWORTH COUNTY,13042,12942,12664,12663,12156,6837,6759,6786,6801,6592,6431,6330,5935,6300,6245,6289,6408,6231,6136,6031,5588,64,83,103,94,145,134,128,65,166,179,168,152,262,225,222,154,1120,1039,1003,892,572,559,539,377,1134,1084,1144,1058,1492,1536,1485,1228,9836,9847,9890,10252,10352,10113,9987,9699,29,42,37,30,†,788,730,730,731,†
PENNSYLVANIA,LEBANON COUNTY,18786,18893,18956,19874,18860,9776,9591,9628,9507,9588,9537,10092,9651,9331,9244,9251,9003,9072,9164,9474,9222,20,22,26,19,18,21,17,21,292,274,270,278,280,279,267,265,3612,3373,3248,2970,2899,2658,2809,2508,593,555,574,626,586,580,576,557,14382,14307,14455,14617,14877,15163,15897,15522,18,14,11,†,†,190,290,295,†,†
SOUTH CAROLINA,LEE COUNTY,2487,2526,2544,2659,2705,1275,1217,1189,1229,1257,1270,1337,1338,1238,1198,1215,1256,1263,1271,1322,1365,2,0,1,1,2,0,1,1,0,1,1,0,3,5,4,5,45,36,30,43,50,44,47,39,2258,2233,2257,2314,2355,2391,2491,2543,197,141,107,127,110,101,116,115,1,1,0,†,†,10,3,8,†,†
TEXAS,LEE COUNTY,3323,3339,3379,3432,3382,1793,1856,1802,1860,1868,1944,1916,1914,1471,1488,1472,1463,1471,1435,1516,1468,10,8,10,9,9,8,9,12,12,15,14,10,17,16,18,15,1311,1293,1238,1195,1146,1127,1139,1105,419,462,447,512,563,567,580,577,1434,1502,1498,1597,1604,1661,1686,1673,1,1,2,†,†,77,63,65,†,†
MISSISSIPPI,LEE COUNTY,16281,16217,16002,14992,14864,8510,8258,8158,8140,8097,7975,7950,7931,8114,7983,7932,7809,7821,7679,7674,7689,12,4,5,4,4,1,3,6,189,194,182,181,187,140,149,134,462,386,378,303,293,263,245,218,6247,6149,6000,5916,5992,5881,5804,5799,9500,9322,9402,9430,9442,9369,9423,9463,2,4,1,1,0,212,182,122,114,0
NORTH CAROLINA,LEE COUNTY,9871,9948,9720,9597,9468,5115,5079,5031,5038,4991,4810,4807,4857,4859,4851,4803,4823,4761,4535,4456,4611,70,64,67,58,61,61,57,47,64,67,60,93,90,86,70,72,3132,3037,2955,2632,2520,2466,2263,2119,2128,2155,2118,2653,2618,2212,2290,2634,4288,4297,4379,4425,4463,4520,4583,4596,7,7,4,†,†,285,303,251,†,†
KENTUCKY,LEE COUNTY,1122,1140,1109,1154,1271,555,563,575,575,611,592,612,639,522,557,549,543,524,513,542,555,4,2,1,0,0,0,0,0,1,1,1,2,3,3,4,3,5,4,4,5,2,1,3,3,8,6,9,9,6,2,2,3,1052,1101,1105,1102,1124,1099,1145,1185,0,0,0,†,†,7,6,4,†,†
ILLINOIS,LEE COUNTY,4817,4892,4901,4929,5094,2194,2190,2282,2236,2379,2397,2490,2516,2191,2246,2308,2302,2332,2405,2398,2432,8,8,13,9,6,11,8,7,31,33,38,47,56,53,61,69,235,235,220,191,205,204,201,209,93,92,101,98,99,106,146,119,3783,3844,3992,4193,4345,4428,4472,4544,0,3,3,†,†,235,221,223,†,†
FLORIDA,LEE COUNTY,80484,79434,80541,78981,75634,44199,43240,42226,40036,38801,39388,38865,38879,41566,40655,39741,37909,36947,37543,37012,36755,163,155,164,178,278,280,261,282,1371,1297,1253,1197,1290,1257,1181,1104,29355,27712,26136,23968,22304,23066,21975,19695,13015,12882,12641,12293,11703,11250,10762,10695,39804,39961,40015,40309,40173,41078,41698,43858,72,68,54,†,†,1985,1820,1704,†,†
IOWA,LEE COUNTY,4433,4348,5381,5443,5609,2596,2561,2602,2127,2195,2740,2764,2870,2443,2430,2469,2051,2140,2639,2679,2712,15,19,23,23,10,11,8,15,27,29,36,28,44,61,61,63,254,245,246,233,177,175,169,185,164,166,179,195,316,270,298,319,4339,4323,4397,3535,3788,4862,4907,5000,4,2,3,4,†,236,207,187,160,†
ARKANSAS,LEE COUNTY,1214,1263,1376,1457,1522,497,531,559,606,624,674,715,732,531,516,544,608,640,704,745,794,0,0,0,0,0,0,0,0,9,9,4,6,2,2,2,0,19,25,25,20,19,28,26,21,920,955,1022,1122,1151,1223,1303,1372,80,58,52,62,92,125,129,133,0,0,0,4,†,0,0,0,0,†
ALABAMA,LEE COUNTY,20292,19907,19855,19761,19191,11520,10519,10540,10243,10064,10099,10004,9746,11045,10134,10149,9953,9774,9797,9663,9358,52,53,56,48,44,48,39,39,799,746,679,607,567,506,437,422,769,625,575,526,485,458,393,332,6989,6627,6617,6535,6505,6719,6739,6582,13636,12427,12717,12480,12237,12165,12059,11729,11,7,2,†,†,309,168,43,†,†
GEORGIA,LEE COUNTY,6267,6186,6126,5972,5819,3303,3237,3254,3181,3094,3059,2993,2944,3009,3021,3098,3086,2969,2982,2886,2811,8,6,9,10,7,10,14,13,169,172,162,134,132,119,95,87,130,122,114,101,82,98,74,77,1199,1205,1191,1162,1142,1088,990,936,4619,4578,4711,4722,4700,4726,4706,4642,10,8,16,14,†,177,167,149,124,†
VIRGINIA,LEE COUNTY,3651,3694,3694,3564,3637,1781,1875,1853,1879,1824,1825,1811,1833,1637,1719,1744,1767,1756,1741,1748,1795,7,5,5,6,7,5,4,2,10,9,10,5,8,8,9,3,32,36,32,29,27,24,17,21,13,14,21,21,17,18,20,20,3341,3515,3518,3585,3521,3511,3509,3582,0,0,0,†,†,15,15,11,†,†
MICHIGAN,LEELANAU COUNTY,2221,2288,2361,2347,2478,1137,1110,1141,1132,1185,1401,1394,1400,1004,996,1024,999,1059,1201,1215,1233,168,176,186,198,200,238,226,223,25,22,20,19,19,23,19,21,192,213,219,180,177,203,204,195,43,24,20,18,18,23,20,22,1661,1632,1673,1716,1830,2115,2140,2172,2,2,2,†,†,50,37,45,†,†
MISSISSIPPI,LEFLORE COUNTY,5630,5663,5790,5964,6129,2903,2869,2851,2904,2894,2971,3050,3145,2777,2704,2774,2810,2862,2917,2996,3060,0,1,0,0,0,0,0,0,27,17,20,15,11,11,14,15,113,106,96,87,79,76,79,59,5313,5216,5277,5366,5410,5541,5682,5818,213,219,228,240,256,260,271,313,0,0,0,0,0,14,14,4,6,0
PENNSYLVANIA,LEHIGH COUNTY,53120,50423,50918,54398,50430,26912,27255,28729,28283,26863,27322,29018,27013,25390,25591,26511,26060,25320,26015,27024,25481,73,72,93,86,108,94,86,79,2077,2078,2056,1940,1783,1765,1743,1650,16242,15941,16494,15645,14591,14482,14813,12985,4321,4525,4906,4817,4623,4678,4755,4437,28392,29404,31174,31855,31078,32318,34645,33343,37,25,23,†,†,1160,801,494,†,†
IDAHO,LEMHI COUNTY,1013,1070,1101,1112,1124,495,506,532,546,563,602,605,615,477,482,476,467,515,510,524,528,8,10,0,10,8,10,14,9,8,7,1,9,10,16,12,10,35,26,19,10,13,17,16,19,5,8,1,1,0,2,1,3,909,932,985,983,1047,1067,1086,1102,2,3,0,†,†,5,2,2,†,†
MICHIGAN,LENAWEE COUNTY,16760,17383,17896,18046,18275,8157,8129,8380,8646,8952,9366,9615,9572,7644,7615,7795,8029,8294,8641,8840,8887,65,65,73,86,95,103,78,76,94,108,114,191,131,135,120,114,2003,1983,1939,1678,1780,1785,1683,1601,364,378,461,641,648,645,563,510,12911,12895,13323,14079,14592,15339,16011,16158,8,4,11,†,†,356,311,254,†,†
NORTH CAROLINA,LENOIR COUNTY,9870,9877,10166,10264,10415,5031,5158,5096,5147,5124,5255,5311,5479,4649,4696,4699,4640,4753,4751,4788,4936,24,24,30,17,21,19,14,20,61,57,45,56,53,58,65,57,1074,1089,980,811,765,783,709,643,4623,4701,4712,5047,5100,5122,5223,5461,3672,3731,3771,3856,3938,4024,4088,4234,6,4,5,†,†,220,248,252,†,†
TEXAS,LEON COUNTY,3124,3020,3020,3026,2966,1602,1612,1631,1547,1558,1585,1569,1553,1456,1496,1524,1450,1462,1435,1457,1413,12,10,11,13,13,11,5,8,34,36,34,33,27,19,23,23,748,721,708,628,576,533,511,430,232,247,264,236,280,307,328,299,1978,2037,2094,2087,2124,2150,2159,2206,1,0,0,†,†,53,57,44,†,†
FLORIDA,LEON COUNTY,35632,35231,35052,35008,34997,18161,18104,18226,17270,16986,16970,16926,17449,17472,17349,17315,16583,16282,16317,16369,16922,92,85,74,86,73,69,61,60,1219,1158,1142,1094,1018,992,954,871,1805,1797,1751,1576,1280,1218,1147,1092,15229,14968,14797,14608,14297,14276,13946,14301,16116,16322,16670,16489,16600,16732,17187,18047,27,29,24,†,†,1145,1094,1083,†,†
KENTUCKY,LESLIE COUNTY,1937,1891,1952,1911,2217,991,974,953,1009,994,1031,1013,1060,927,911,903,926,896,920,898,899,0,0,0,1,1,1,0,0,2,2,2,1,0,3,0,0,13,9,10,4,4,4,3,0,11,12,9,8,8,9,8,5,1889,1861,1834,1921,1877,1934,1900,1954,0,0,0,†,†,3,1,1,†,†
KENTUCKY,LETCHER COUNTY,3884,3836,3873,3915,4154,2046,2075,2057,2018,1991,2004,2052,2085,1816,1878,1884,1845,1824,1857,1854,1853,4,3,4,3,7,8,10,17,5,3,4,3,2,0,2,4,27,22,14,5,4,5,5,6,18,21,21,21,20,21,17,23,3795,3894,3891,3831,3782,3827,3872,3888,1,1,0,†,†,12,9,7,†,†
FLORIDA,LEVY COUNTY,5930,6024,6228,6257,6256,2979,3001,2996,3013,3062,3161,3148,3239,2681,2742,2736,2767,2836,2957,3011,3017,24,18,22,19,12,8,6,3,31,30,28,27,33,29,31,37,552,529,530,478,464,471,418,364,786,802,848,860,929,961,953,966,4093,4197,4153,4396,4460,4649,4751,4886,3,0,3,†,†,171,167,148,†,†
MONTANA,LEWIS AND CLARK COUNTY,9671,9601,9382,9400,9384,4871,4907,4914,4936,4902,4787,4799,4768,4630,4612,4666,4656,4627,4610,4625,4635,447,456,441,469,460,451,460,477,79,80,88,123,115,101,110,124,291,270,273,220,202,203,190,193,103,95,114,113,111,100,84,85,8503,8542,8569,8667,8641,8542,8580,8524,26,25,30,†,†,52,51,65,†,†
MISSOURI,LEWIS COUNTY,1576,1552,1586,1569,1618,784,760,794,821,817,837,838,847,732,743,759,755,735,749,731,771,4,6,6,3,5,4,4,4,0,0,0,0,0,4,4,3,5,22,28,6,7,7,4,4,48,45,51,73,75,75,74,77,1406,1384,1432,1494,1465,1496,1483,1530,0,0,0,†,†,53,46,36,†,†
NEW YORK,LEWIS COUNTY,4340,4427,4374,4442,4571,2229,2251,2258,2240,2295,2261,2241,2330,2144,2236,2263,2274,2303,2282,2209,2250,3,1,1,4,6,7,11,13,22,23,27,26,25,31,27,29,44,44,31,39,30,33,49,40,80,57,85,70,72,78,70,72,4181,4335,4366,4375,4465,4394,4293,4426,8,7,0,†,†,35,20,11,†,†
TENNESSEE,LEWIS COUNTY,1996,2018,1899,1974,1881,1021,1043,1035,1040,1037,990,1016,964,937,917,938,956,981,913,962,917,3,5,2,4,4,7,5,3,11,10,9,9,9,10,8,6,46,46,50,43,48,40,36,39,46,46,61,62,62,59,52,51,1793,1826,1835,1878,1895,1787,1877,1782,0,1,0,†,†,59,26,16,†,†
IDAHO,LEWIS COUNTY,857,902,945,908,894,456,458,453,449,487,515,498,493,429,415,425,408,415,430,410,401,92,77,84,97,106,114,105,99,8,9,9,16,20,20,21,19,47,40,41,32,40,43,40,35,2,2,3,0,8,4,3,4,696,709,720,712,728,764,739,737,0,0,1,†,†,40,36,20,†,†
KENTUCKY,LEWIS COUNTY,2436,2440,2521,2425,2663,1229,1207,1216,1229,1235,1293,1258,1268,1201,1174,1156,1186,1186,1215,1154,1145,3,3,4,2,2,4,4,4,1,2,3,5,4,4,3,2,9,8,10,6,4,3,3,3,5,8,7,7,6,7,6,3,2372,2323,2313,2395,2405,2490,2396,2401,0,0,0,†,†,40,37,35,†,†
WASHINGTON,LEWIS COUNTY,11656,12240,12516,12711,12723,6215,6307,6230,5906,6165,6335,6451,6553,5684,5766,5718,5388,5657,5831,5920,5951,96,128,112,223,252,257,256,256,110,94,101,173,196,176,172,179,2067,1974,1741,1369,1299,1285,1223,1177,147,166,117,161,153,149,145,165,9040,9286,9357,9368,9922,10299,10575,10727,24,27,33,†,†,415,398,487,†,†
WEST VIRGINIA,LEWIS COUNTY,2650,2686,2704,2720,2735,1364,1336,1327,1360,1380,1389,1383,1416,1262,1299,1278,1290,1306,1315,1337,1319,1,1,2,4,5,4,6,3,7,11,9,9,8,9,7,5,14,16,15,13,6,7,7,9,13,13,17,24,24,28,30,21,2567,2573,2552,2587,2643,2656,2670,2697,0,0,0,0,†,24,21,10,13,†
